id,Nombre,Apellidos,Nacionalidad,Edad,Equipo,Goles,Asitencias
1,Cart,Hanington,China,1,Atlético de Madrid,1,1
2,Lavinia,Parncutt,Russia,2,Sevilla,2,2
3,Laurence,Luckham,Canada,3,Mallorca,3,3
4,Minnie,McKay,Indonesia,4,Sevilla,4,4
5,Goddart,Guare,Iraq,5,Mallorca,5,5
6,Indira,Jordin,United States,6,Athletic Club,6,6
7,Karoline,Yelland,Russia,7,Osasuna,7,7
8,Klaus,Hindes,United States,8,Elche,8,8
9,Katie,Juhruke,Indonesia,9,Villarreal,9,9
10,Alaine,Pym,France,10,Celta de Vigo,10,10
11,Avrit,Halburton,Philippines,11,Barcelona,11,11
12,Leontyne,Furze,Guatemala,12,Real Sociedad,12,12
13,Trescha,Marler,Russia,13,Real Madrid,13,13
14,Aeriela,Shacklady,Peru,14,Mallorca,14,14
15,Karim,Joinsey,China,15,Almería,15,15
16,Marieann,Arons,Ukraine,16,Mallorca,16,16
17,Filmore,Idel,China,17,Espanyol,17,17
18,Damien,Gorman,Peru,18,Villarreal,18,18
19,Jaye,Pigeon,Spain,19,Girona,19,19
20,Alicia,Michelet,Kazakhstan,20,Athletic Club,20,20
21,Rockey,Pereira,Serbia,21,Real Sociedad,21,21
22,Christiano,Bratcher,Croatia,22,Real Valladolid,22,22
23,Ofelia,Pietranek,China,23,Sevilla,23,23
24,Mel,Nozzolii,Mongolia,24,Almería,24,24
25,Harriette,Job,East Timor,25,Valencia CF,25,25
26,Vinson,Laflin,Indonesia,26,Mallorca,26,26
27,Irvine,Plaistowe,Canada,27,Athletic Club,27,27
28,Haily,Chesman,Portugal,28,Cádiz,28,28
29,Fionnula,Spurden,China,29,Almería,29,29
30,Josi,Exton,Sweden,30,Real Betis,30,30
31,Hayward,Gripton,Argentina,31,Mallorca,31,31
32,Roberto,Corkel,China,32,Villarreal,32,32
33,Noble,Houchin,China,33,Villarreal,33,33
34,Shepperd,Ouldcott,Poland,34,Real Valladolid,34,34
35,Missy,Stalman,Bosnia and Herzegovina,35,Atlético de Madrid,35,35
36,Amalia,Calder,Czech Republic,36,Real Valladolid,36,36
37,Isadore,Raven,Palestinian Territory,37,Cádiz,37,37
38,Yul,Spriggs,France,38,Cádiz,38,38
39,Lolly,Probert,Argentina,39,Real Valladolid,39,39
40,Gilburt,Easter,Angola,40,Mallorca,40,40
41,Durant,Volk,Mexico,41,Espanyol,41,41
42,Meryl,Stracey,Kenya,42,Osasuna,42,42
43,Odessa,Duguid,United States,43,Valencia CF,43,43
44,Odie,Matysik,Tunisia,44,Celta de Vigo,44,44
45,Findley,Cremen,Pakistan,45,Celta de Vigo,45,45
46,Fergus,Scutt,Indonesia,46,Celta de Vigo,46,46
47,Donetta,Cornill,Bosnia and Herzegovina,47,Real Sociedad,47,47
48,Mead,Spohrmann,China,48,Sevilla,48,48
49,Holt,Nipper,China,49,Celta de Vigo,49,49
50,Elaina,Teggin,Czech Republic,50,Atlético de Madrid,50,50
51,Jenna,McGill,Cuba,51,Girona,51,51
52,Judah,Polson,China,52,Villarreal,52,52
53,Stephanus,Agate,Panama,53,Elche,53,53
54,Agna,Berrill,Poland,54,Elche,54,54
55,Cleveland,Pryce,China,55,Atlético de Madrid,55,55
56,Yevette,Gorghetto,China,56,Mallorca,56,56
57,Elianore,Muckleston,China,57,Getafe,57,57
58,Malvina,Ogden,Poland,58,Barcelona,58,58
59,Anselma,Laborde,South Africa,59,Villarreal,59,59
60,Paulo,Binnion,Portugal,60,Celta de Vigo,60,60
61,Port,Olivier,Indonesia,61,Atlético de Madrid,61,61
62,Rahel,Toner,China,62,Espanyol,62,62
63,Koren,Domenichini,Sweden,63,Espanyol,63,63
64,Tildi,Machel,Malaysia,64,Mallorca,64,64
65,Shauna,Salerg,Albania,65,Valencia CF,65,65
66,Robina,Cobley,Indonesia,66,Sevilla,66,66
67,Osborn,Southorn,Yemen,67,Cádiz,67,67
68,Carlynne,Cloake,China,68,Osasuna,68,68
69,Perry,Cotherill,Brazil,69,Almería,69,69
70,Ruby,Nend,China,70,Elche,70,70
71,Andy,Corsor,Saudi Arabia,71,Valencia CF,71,71
72,Pembroke,Paramor,Indonesia,72,Villarreal,72,72
73,Karee,Sharvill,Philippines,73,Real Sociedad,73,73
74,Juline,Blakden,Sweden,74,Real Sociedad,74,74
75,Yolane,Rogerson,Indonesia,75,Real Valladolid,75,75
76,Susanna,Djekic,Brazil,76,Girona,76,76
77,Ophelie,Scarff,Brazil,77,Real Valladolid,77,77
78,Marketa,Coite,Japan,78,Athletic Club,78,78
79,Osbert,Sigg,Mexico,79,Athletic Club,79,79
80,Annice,Mulder,Indonesia,80,Real Madrid,80,80
81,Cecily,Wilsee,France,81,Real Valladolid,81,81
82,Garreth,Littlefair,China,82,Espanyol,82,82
83,Orsola,Grinnov,United States,83,Barcelona,83,83
84,Thaine,Hargreves,France,84,Real Madrid,84,84
85,Sydel,Hughes,Indonesia,85,Real Madrid,85,85
86,Darell,Woolmer,China,86,Elche,86,86
87,Conway,Ewin,Venezuela,87,Celta de Vigo,87,87
88,Fielding,Blinerman,Czech Republic,88,Atlético de Madrid,88,88
89,Hervey,Bullick,Indonesia,89,Sevilla,89,89
90,Malvin,Talmadge,Iran,90,Atlético de Madrid,90,90
91,Glenine,Tineman,Malaysia,91,Celta de Vigo,91,91
92,Carmita,Pallatina,China,92,Espanyol,92,92
93,Carmelina,Castelletto,Peru,93,Valencia CF,93,93
94,Arlee,D'Antonio,Peru,94,Almería,94,94
95,Zebulen,Rignoldes,China,95,Mallorca,95,95
96,Valery,McGiff,United States,96,Real Sociedad,96,96
97,Tyne,Tunsley,Croatia,97,Barcelona,97,97
98,Cassy,Billett,China,98,Almería,98,98
99,Lawry,Dumingo,Thailand,99,Celta de Vigo,99,99
100,Kenneth,Webben,Yemen,100,Cádiz,100,100
101,Atlante,Manners,Canada,101,Almería,101,101
102,Lauretta,Chaffin,Peru,102,Athletic Club,102,102
103,Lorene,Marquess,Indonesia,103,Osasuna,103,103
104,Rafe,Rodriguez,Burkina Faso,104,Real Valladolid,104,104
105,Maura,Stracey,New Zealand,105,Getafe,105,105
106,Carter,Mechic,Azerbaijan,106,Elche,106,106
107,Judy,Nurdin,Poland,107,Girona,107,107
108,Hortensia,Dmitriev,Russia,108,Getafe,108,108
109,Evan,Spiaggia,Yemen,109,Girona,109,109
110,Cecilia,Nadin,Portugal,110,Real Madrid,110,110
111,Lilah,Baselli,Sweden,111,Real Madrid,111,111
112,Robinson,Eastam,China,112,Rayo Vallecano,112,112
113,Lotti,Pavlata,Croatia,113,Rayo Vallecano,113,113
114,Nicolis,Dowdney,France,114,Osasuna,114,114
115,Nicky,Dillamore,Japan,115,Mallorca,115,115
116,Chuck,Eggerton,Honduras,116,Girona,116,116
117,Carmela,McGaugey,Indonesia,117,Elche,117,117
118,Susann,Grzeszczyk,Indonesia,118,Athletic Club,118,118
119,Scarlet,Pettie,Brazil,119,Athletic Club,119,119
120,Maddalena,Moses,Indonesia,120,Real Madrid,120,120
121,Tully,Nuemann,Serbia,121,Cádiz,121,121
122,Gaby,Habens,Argentina,122,Girona,122,122
123,Findley,Maloney,Russia,123,Almería,123,123
124,Barrie,Janicki,Latvia,124,Real Valladolid,124,124
125,Camila,Targetter,Argentina,125,Almería,125,125
126,Caterina,Shillabeare,Syria,126,Osasuna,126,126
127,Gilly,Roddie,China,127,Valencia CF,127,127
128,Murial,Berceros,Spain,128,Atlético de Madrid,128,128
129,Alejandro,MacCarter,Philippines,129,Celta de Vigo,129,129
130,Cyrillus,Schall,Canada,130,Barcelona,130,130
131,Haroun,Delacote,China,131,Real Valladolid,131,131
132,Wandie,Wragg,China,132,Cádiz,132,132
133,Sawyere,Lukacs,China,133,Elche,133,133
134,Minda,Mulleary,Thailand,134,Athletic Club,134,134
135,Callie,Creek,Zambia,135,Girona,135,135
136,Jaclin,Leake,Indonesia,136,Real Betis,136,136
137,Emery,Wannell,China,137,Barcelona,137,137
138,Oriana,Rojel,Indonesia,138,Real Valladolid,138,138
139,Phylys,Skough,Indonesia,139,Celta de Vigo,139,139
140,Meredith,Murgatroyd,Sweden,140,Atlético de Madrid,140,140
141,Felicia,Knutsen,Japan,141,Rayo Vallecano,141,141
142,Stanislaus,Attwooll,China,142,Atlético de Madrid,142,142
143,Bari,Messham,Indonesia,143,Athletic Club,143,143
144,Cinderella,Zmitruk,Argentina,144,Getafe,144,144
145,Hershel,Mughal,Sweden,145,Rayo Vallecano,145,145
146,Zahara,Motten,Colombia,146,Real Betis,146,146
147,Skelly,Longfield,Vietnam,147,Villarreal,147,147
148,Maribel,Cowlam,Japan,148,Sevilla,148,148
149,Rhea,Duffyn,Finland,149,Mallorca,149,149
150,Elyse,Lempel,Philippines,150,Real Betis,150,150
151,Allen,Greep,China,151,Cádiz,151,151
152,Art,Zellner,Philippines,152,Cádiz,152,152
153,Barr,Edel,China,153,Athletic Club,153,153
154,Hunfredo,Wrassell,France,154,Real Sociedad,154,154
155,Rosita,Clausson,China,155,Almería,155,155
156,Sara,Cheyne,Czech Republic,156,Real Madrid,156,156
157,Ranice,Robert,Greece,157,Valencia CF,157,157
158,Corella,Tschirasche,Pakistan,158,Girona,158,158
159,Brooke,Bartholin,Yemen,159,Cádiz,159,159
160,Ivett,Coniam,China,160,Valencia CF,160,160
161,Rosalinde,Methuen,China,161,Real Betis,161,161
162,Ki,Magowan,Russia,162,Sevilla,162,162
163,Maurizia,De Bernardi,Tanzania,163,Getafe,163,163
164,Janka,Jendrusch,Russia,164,Almería,164,164
165,Caterina,Kosiada,Mexico,165,Almería,165,165
166,Ingeborg,Fincken,Russia,166,Cádiz,166,166
167,Hinda,Saulter,Norway,167,Mallorca,167,167
168,Dunstan,Langdale,Philippines,168,Girona,168,168
169,Sheila,Cromley,Indonesia,169,Real Sociedad,169,169
170,Deva,Metcalf,Vanuatu,170,Osasuna,170,170
171,Lonnie,Giacopazzi,Russia,171,Valencia CF,171,171
172,Zora,Minogue,Indonesia,172,Osasuna,172,172
173,Curcio,Heads,Sweden,173,Getafe,173,173
174,Germaine,Aizik,Russia,174,Almería,174,174
175,Genni,Imlock,Lithuania,175,Elche,175,175
176,Harold,Southan,Bahrain,176,Girona,176,176
177,Clarissa,Prayer,Thailand,177,Espanyol,177,177
178,Farr,Matisoff,Sweden,178,Villarreal,178,178
179,Francois,Innman,Philippines,179,Athletic Club,179,179
180,Sissie,Kirkwood,France,180,Sevilla,180,180
181,Dasha,Creebo,Malaysia,181,Villarreal,181,181
182,Dolores,Betjeman,Poland,182,Real Sociedad,182,182
183,Gustavus,Greenstead,Greece,183,Osasuna,183,183
184,Roldan,Hayworth,Portugal,184,Elche,184,184
185,Rosmunda,Buddle,Portugal,185,Osasuna,185,185
186,Iris,Skeene,Portugal,186,Atlético de Madrid,186,186
187,Nikkie,Kitchener,Paraguay,187,Cádiz,187,187
188,Stefa,Crossgrove,Sweden,188,Osasuna,188,188
189,Nerte,Shulem,Peru,189,Celta de Vigo,189,189
190,Anitra,Wheatman,Greece,190,Cádiz,190,190
191,Andreana,Carrabott,Portugal,191,Real Valladolid,191,191
192,Jemmy,MacQueen,China,192,Real Valladolid,192,192
193,Christan,McGlaud,Bulgaria,193,Real Sociedad,193,193
194,Denyse,Meany,Portugal,194,Girona,194,194
195,Isidoro,Shew,Indonesia,195,Almería,195,195
196,Lacy,Minichillo,Peru,196,Barcelona,196,196
197,Tomlin,Nekrews,Saint Kitts and Nevis,197,Athletic Club,197,197
198,Germana,Selman,Portugal,198,Girona,198,198
199,Tades,Frotton,Zimbabwe,199,Rayo Vallecano,199,199
200,Skipp,Belhomme,Indonesia,200,Real Betis,200,200
201,Cointon,Fagge,Indonesia,201,Villarreal,201,201
202,Pansy,Ashfold,Belarus,202,Girona,202,202
203,Tybi,Seaborne,Croatia,203,Almería,203,203
204,Caresse,Cantrill,France,204,Celta de Vigo,204,204
205,Yance,Rivelon,Russia,205,Real Madrid,205,205
206,Edgardo,Leroux,Brazil,206,Getafe,206,206
207,Zollie,Dobinson,China,207,Elche,207,207
208,Meryl,Paal,Thailand,208,Almería,208,208
209,Emelyne,Dominguez,Finland,209,Real Betis,209,209
210,Marjory,Mowne,Vietnam,210,Villarreal,210,210
211,Juliane,Belin,Russia,211,Osasuna,211,211
212,Basile,Harbor,United Kingdom,212,Espanyol,212,212
213,Tybi,Nevin,Indonesia,213,Villarreal,213,213
214,Frederik,Cudbertson,Canada,214,Real Betis,214,214
215,Andrey,Brimble,Colombia,215,Atlético de Madrid,215,215
216,Coleen,Gyorgy,Indonesia,216,Atlético de Madrid,216,216
217,Sanford,Giovannacci,Thailand,217,Athletic Club,217,217
218,Stirling,Catto,Indonesia,218,Real Betis,218,218
219,Rad,Whiteson,Ireland,219,Real Madrid,219,219
220,Marcy,Richards,Indonesia,220,Valencia CF,220,220
221,Oswell,Scoates,Argentina,221,Atlético de Madrid,221,221
222,Gweneth,Maffucci,Brazil,222,Real Valladolid,222,222
223,Stanleigh,Dowty,China,223,Sevilla,223,223
224,Gabriellia,Rihosek,Canada,224,Athletic Club,224,224
225,Colman,Falkner,China,225,Espanyol,225,225
226,Francisco,Rozsa,Brazil,226,Espanyol,226,226
227,Nevil,Hindmore,Indonesia,227,Real Madrid,227,227
228,Shellysheldon,McGenn,Greece,228,Barcelona,228,228
229,Stephannie,Jenton,Portugal,229,Cádiz,229,229
230,Carlina,Halsey,Colombia,230,Getafe,230,230
231,Codee,Jozwicki,Japan,231,Sevilla,231,231
232,Ruggiero,Kulvear,Poland,232,Osasuna,232,232
233,Gertie,Camocke,United States,233,Atlético de Madrid,233,233
234,Flossi,Place,Philippines,234,Real Betis,234,234
235,Gloria,Canwell,Peru,235,Osasuna,235,235
236,Raynor,Sangwine,Brazil,236,Sevilla,236,236
237,Lynea,McGinly,Greece,237,Real Madrid,237,237
238,Abey,Parkyns,Czech Republic,238,Almería,238,238
239,Bond,Carrick,Brazil,239,Celta de Vigo,239,239
240,Marketa,Battin,Portugal,240,Real Madrid,240,240
241,Mirella,Killough,Colombia,241,Athletic Club,241,241
242,Karel,Tipling,Syria,242,Athletic Club,242,242
243,Alysia,Foston,China,243,Cádiz,243,243
244,Gabriele,Durrand,United States,244,Rayo Vallecano,244,244
245,Melloney,Ready,Netherlands,245,Real Sociedad,245,245
246,Dru,Harman,Guinea-Bissau,246,Barcelona,246,246
247,Adriena,Humphrys,Russia,247,Real Madrid,247,247
248,Judye,Lightbown,Turkmenistan,248,Rayo Vallecano,248,248
249,Stinky,Summerill,Portugal,249,Celta de Vigo,249,249
250,Hedvig,Abram,Philippines,250,Sevilla,250,250
251,Che,Grigorushkin,South Africa,251,Almería,251,251
252,Robin,Dudny,Brazil,252,Elche,252,252
253,Ulberto,Beevor,China,253,Cádiz,253,253
254,Fancy,Blasio,Indonesia,254,Espanyol,254,254
255,Gage,Lissenden,Thailand,255,Real Betis,255,255
256,Yorgo,Jefferies,Yemen,256,Mallorca,256,256
257,Toby,Cornhill,Indonesia,257,Valencia CF,257,257
258,Sidney,Dawtrey,Canada,258,Celta de Vigo,258,258
259,Ranique,Rolling,Poland,259,Getafe,259,259
260,Doro,Kiljan,China,260,Cádiz,260,260
261,Archy,Challicum,Honduras,261,Real Sociedad,261,261
262,Angie,Tome,Japan,262,Rayo Vallecano,262,262
263,Herb,Head,Ukraine,263,Mallorca,263,263
264,Arabele,Weale,Pakistan,264,Getafe,264,264
265,Ignazio,Laurisch,Czech Republic,265,Sevilla,265,265
266,Ginger,Broker,Russia,266,Osasuna,266,266
267,Aurea,Clapison,Canada,267,Cádiz,267,267
268,Trisha,Maylott,Guyana,268,Almería,268,268
269,Lucita,Lillecrap,Greece,269,Espanyol,269,269
270,Padriac,Archley,Central African Republic,270,Girona,270,270
271,Lyndel,Maharey,China,271,Villarreal,271,271
272,Adina,Poundford,Russia,272,Cádiz,272,272
273,Atalanta,Bonifazio,Ireland,273,Almería,273,273
274,Fiona,Booton,Greece,274,Barcelona,274,274
